score,player1,player2,set1,set1t,set2,set2t,set3,set3t
6,Cox Slashers,(AWAY),,,,,,
3,Beaver Street Bullies,(HOME),1st Set,TB,2nd Set,TB,3rd Set,TB
Line 1,Charlie Mutschler,Steven D'Achille,3,,6,,7,10
,Matt Schultz,Brad Christof,6,,3,,6,6
Line 2,Andrew Cox,Michael Etienne,6,,6,,,
,Marty O'Brien,Ben Kopel,4,,3,,,
Line 3,Dan Scrabis,Steve Victor,2,,5,,,
,Brent Ellis,David Knott,6,,7,,,
Line 4,Rob DiTommaso,Bob Alexander,6,,7,7,,
,Peter Haralambakis,Matthew Tremaine,3,,6,2,,
Line 5,Byron Galbraith,Lindsey Smith,,,,,,
,Jason Weisser,Chris Phillips,,,,,,
Line 6,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,Duncan's Donuts,(AWAY),,,,,,
4,Haymakers,(HOME),1st Set,TB,2nd Set,TB,3rd Set,TB
Line 1,Nick Mross,Duncan Jones,4,,5,,,
,Graham Furlong,Jeff McGeary,6,,7,,,
Line 2,Carl Kriebel,Chris Hale,6,,6,,,
,Brandon Means,Sean Rollman,2,,2,,,
Line 3,Ed Zabela,Juergen Kloo,3,,6,,3,
,Brett Nixon,Tom Hughes,6,,4,,6,
Line 4,Matthew Blint,Henry Rafoth,6,,6,,,
,John Colby,Chris Chan,4,,4,,,
Line 5,,,,,,,,
,,,,,,,,
Line 6,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,Tri-Borough Deuces,(AWAY),,,,,,
5,Trick Shots Only,(HOME),1st Set,TB,2nd Set,TB,3rd Set,TB
Line 1,Bill Coates,Dave Riordan,,,,,,
,Jacob Braun,David Saint-Jacques,,,,,,
Line 2,Andy Ellis,Duncan Miller,6,6,6,,6,
,Finn Carlson,Mike Hammel,7,8,3,,2,
Line 3,Jack Miner,Bill Bassong,2,,2,,,
,Derek Stallard,Jay Dundon,6,,6,,,
Line 4,Mike Quigley,Andrew Southwood,6,,7,,,
,Jared Bovalino,Ben Yocca,4,,5,,,
Line 5,Kevin Triggs,Ephraim Zimmerman,4,,2,,,
,Dave McKelvey,Dennis Auth,6,,6,,,
Line 6,,,,,,,,
